id,F5,F2,F4,F1,F6,F3
228,28,57,19,26,20,19
229,35,54,18,37,19,24
230,33,56,22,38,20,23
231,29,58,22,40,22,19
232,34,59,22,40,24,24
233,32,49,18,32,22,22
234,28,50,16,30,19,14
235,29,47,17,37,15,23
236,31,46,15,27,12,21
237,35,54,17,39,19,24
238,27,55,17,35,17,19
239,30,48,20,32,18,24
240,33,60,21,40,21,24
241,24,51,20,33,18,17
242,23,48,16,32,17,23
243,25,42,15,25,17,21
244,28,60,23,40,22,23
245,36,54,17,31,23,22
246,26,52,21,29,18,23
247,31,50,18,37,20,22
248,26,48,18,27,16,19
249,33,53,16,33,21,23
250,23,48,18,29,15,21
251,28,50,21,37,19,20
252,33,46,14,32,18,15
253,30,50,21,36,23,22
254,30,56,24,37,18,24
255,32,56,20,36,20,24
256,30,48,14,31,19,20
257,26,53,17,30,19,13
258,26,49,18,28,15,18
259,27,51,22,32,18,13
260,34,50,18,32,22,22
261,28,48,19,31,15,24
262,33,47,23,30,19,20
263,31,50,19,38,21,20
264,33,53,21,33,17,16
